lead_time,market_segment_type,avg_price_per_room,booking_status,arrival_date,total_stay_nights
56,Offline,120.0,0,2018-06-08,1
2,Online,197.0,0,2018-05-27,1
36,Online,88.0,1,2018-12-08,3
21,Online,124.25,0,2018-08-29,4
0,Online,159.75,0,2017-10-07,4
124,Offline,94.5,0,2017-08-08,3
26,Online,151.0,0,2018-07-15,3
39,Online,126.9,1,2018-05-07,1
20,Offline,76.5,0,2018-06-28,3
109,Online,76.5,1,2017-07-16,1
20,Online,109.0,0,2018-03-19,2
4,Offline,188.0,0,2018-09-27,2
101,Online,140.7,0,2018-07-31,3
24,Online,106.33,0,2018-12-07,3
40,Online,88.0,0,2018-12-16,3
151,Online,126.9,1,2018-09-04,7
19,Online,158.0,0,2018-09-23,2
182,Online,128.7,1,2018-07-28,1
4,Corporate,67.0,0,2018-03-22,1
187,Online,103.5,0,2018-10-07,3
96,Offline,123.5,1,2017-09-28,2
238,Online,96.48,1,2018-06-18,1
11,Offline,85.0,0,2018-07-25,5
45,Online,101.7,0,2018-06-20,3
22,Online,0.0,0,2017-12-16,0
215,Online,99.45,0,2018-07-06,12
222,Online,90.95,0,2018-08-13,4
52,Online,63.75,1,2018-03-09,4
51,Offline,75.0,0,2018-11-16,4
101,Online,144.45,0,2018-11-11,2
15,Online,100.0,0,2018-02-11,1
27,Online,54.71,0,2018-12-04,5
132,Offline,89.76,0,2018-10-07,3
15,Online,118.33,0,2018-04-15,3
22,Online,196.0,0,2018-07-24,3
19,Offline,52.5,0,2017-11-04,4
21,Online,72.38,1,2018-11-22,2
14,Online,231.0,0,2018-07-21,1
103,Online,118.8,1,2018-08-03,3
2,Online,114.73,0,2018-09-15,1
0,Online,149.0,0,2018-09-08,1
53,Offline,75.0,0,2018-11-18,3
33,Online,140.4,0,2018-04-29,4
14,Online,161.0,0,2018-03-31,5
89,Online,135.9,1,2018-09-02,2
74,Online,91.48,0,2018-10-03,1
191,Offline,132.0,1,2018-06-03,3
12,Online,145.0,1,2018-07-10,3
0,Online,175.0,0,2018-09-21,1
1,Online,189.5,0,2018-07-06,4
1,Online,101.0,0,2018-03-28,1
0,Online,92.17,0,2018-08-20,1
63,Online,134.47,0,2018-04-25,5
70,Offline,109.0,0,2018-06-15,2
49,Online,69.52,0,2017-12-24,1
93,Online,103.5,1,2018-06-28,2
157,Online,132.3,1,2018-10-01,7
224,Offline,102.25,1,2018-08-08,3
101,Online,96.3,1,2018-04-09,2
71,Online,120.15,0,2018-11-06,2
72,Online,168.3,0,2018-09-06,2
1,Online,87.82,0,2018-07-11,1
4,Online,97.0,0,2018-01-02,2
151,Offline,63.75,1,2018-07-11,2
2,Online,105.34,1,2018-05-23,2
16,Online,96.25,0,2017-12-05,2
201,Online,86.5,1,2018-07-21,1
4,Online,79.0,0,2018-02-12,1
8,Online,146.0,1,2018-04-21,1
32,Online,130.0,0,2018-11-11,2
280,Online,78.3,1,2018-12-06,3
9,Online,133.5,0,2018-04-28,4
109,Online,97.75,0,2018-04-28,5
49,Offline,75.0,0,2018-11-14,3
38,Online,107.1,1,2018-07-02,2
82,Online,89.25,0,2017-09-05,1
23,Offline,55.0,0,2017-12-04,4
180,Online,96.3,1,2018-07-23,2
152,Online,94.05,1,2018-10-23,4
64,Online,94.78,1,2018-04-26,4
215,Online,90.95,0,2018-07-29,9
2,Online,95.0,0,2017-11-04,1
6,Online,97.79,0,2018-09-02,5
7,Corporate,65.0,0,2017-09-08,2
9,Online,97.0,0,2018-03-17,1
58,Online,153.0,0,2018-04-05,3
131,Online,164.25,1,2018-07-25,2
30,Online,111.6,0,2017-09-21,4
153,Online,90.46,1,2018-07-15,7
80,Online,93.6,1,2018-11-25,2
